Обозначение	Тип	Наименование	Ревизия	Описание
TST-5721-7001-057-0011	sdb_DetailItem	Ткань стеклянная внутренняя	005	Ткань стеклянная внутренняя
TST-5721-7001-057-0021	sdb_DetailItem	Ткань стеклянная внутренняя	005	Ткань стеклянная внутренняя
TST-5721-7001-059-0011	sdb_DetailItem	Жгут углеродный	003	Жгут углеродный
TST-5721-7001-059-0021	sdb_DetailItem	Жгут углеродный	003	Жгут углеродный
TST-5721-7001-061-0011	sdb_DetailItem	Жгут	001	Жгут
TST-5721-7001-061-0021	sdb_DetailItem	Жгут	001	Жгут
TST-5721-7001-101-0011	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-7001-101-0021	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-7001-103-0011	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-7001-103-0021	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-7001-105-0011	sdb_DetailItem	Стрингер 3	004	Стрингер 3
TST-5721-7001-105-0021	sdb_DetailItem	Стрингер 3	004	Стрингер 3
TST-5721-7001-107-0011	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-7001-107-0021	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-7001-113-0011	sdb_DetailItem	Стрингер 9	005	Стрингер 9
TST-5721-7001-113-0021	sdb_DetailItem	Стрингер 9	005	Стрингер 9
TST-5721-7001-115-0011	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-7001-115-0021	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-7001-117-0011	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-7001-117-0021	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-7001-119-0011	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-7001-119-0021	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-7001-121-0011	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-7001-121-0021	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-7001-123-0011	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-7001-123-0021	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-7001-125-0011	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-7001-125-0021	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-7001-127-0011	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-7001-127-0021	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-7001-129-0011	sdb_DetailItem	Стрингер 17	003	Стрингер 17
TST-5721-7001-129-0021	sdb_DetailItem	Стрингер 17	003	Стрингер 17
TST-5721-7010-001-0011	sdb_DetailItem	Перегородка	002	Перегородка
TST-5721-7010-001-0021	sdb_DetailItem	Перегородка	002	Перегородка
TST-5721-7010-001-D510	sdb_PsAssyItem	Установка короба 1. ПСК	005	Установка короба 1. ПСК
TST-5721-7010-002-D510	sdb_PsAssyItem	Установка короба 1. ПСК	005	Установка короба 1. ПСК
TST-5721-7010-003-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5721-7010-003-0021	sdb_DetailItem	Накладка	003	
TST-5721-7010-005-0011	sdb_DetailItem	Накладка короба 1	004	Накладка короба 1
TST-5721-7010-005-0021	sdb_DetailItem	Накладка короба 1	004	Накладка короба 1
TST-5721-7010-007-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5721-7010-007-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5721-7010-011-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-7010-011-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-7010-013-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-7010-013-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-7010-014-0011	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7010-014-0021	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7011-001-0011	sdb_DetailItem	Короб 1	004	Короб 1
TST-5721-7011-001-0021	sdb_DetailItem	Короб 1	004	Короб 1
TST-5721-7011-003-0011	sdb_DetailItem	Ткань стеклянная	003	Ткань стеклянная
TST-5721-7011-003-0021	sdb_DetailItem	Ткань стеклянная	003	Ткань стеклянная
TST-5721-7020-001-D510	sdb_PsAssyItem	Установка короба 2. ПСК	006	Установка короба 2. ПСК
TST-5721-7020-002-D510	sdb_PsAssyItem	Установка короба 2. ПСК	006	Установка короба 2. ПСК
TST-5721-7020-003-0011	sdb_DetailItem	Накладка	003	Накладка
TST-5721-7020-003-0021	sdb_DetailItem	Накладка	003	Накладка
TST-5721-7020-007-0011	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7020-007-0021	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7020-008-0011	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7020-008-0021	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7020-009-0011	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7020-009-0021	sdb_DetailItem	Накладка	001	Накладка
TST-5721-7021-001-0011	sdb_DetailItem	Короб 2	004	Короб 2
TST-5721-7021-001-0021	sdb_DetailItem	Короб 2	004	Короб 2
TST-5721-7021-003-0011	sdb_DetailItem	Ткань стеклянная	004	Ткань стеклянная
TST-5721-7021-003-0021	sdb_DetailItem	Ткань стеклянная	004	Ткань стеклянная
TST-5721-8000-001-0011	sdb_DetailItem	Втулка	004	Втулка
TST-5721-8000-001-D510	sdb_PsAssyItem	Панель нижняя правая. ПСК	001	Панель нижняя правая. ПСК
TST-5721-8000-002-0011	sdb_DetailItem	Втулка	003	Втулка
TST-5721-8000-002-D510	sdb_PsAssyItem	Панель нижняя левая. ПСК	001	Панель нижняя левая. ПСК
TST-5721-8000-003-0011	sdb_DetailItem	Втулка	003	Втулка
TST-5721-8000-004-0011	sdb_DetailItem	Втулка	004	Втулка
TST-5721-8000-005-0011	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-005-0021	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-006-0011	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-006-0021	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-007-0011	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-007-0021	sdb_DetailItem	Профиль	001	Профиль
TST-5721-8000-008-0011	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8000-008-0021	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8000-009-0011	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8000-009-0021	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8000-010-0011	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8000-010-0021	sdb_DetailItem	Поддерживающий профиль	001	Поддерживающий профиль
TST-5721-8001-001-0011	sdb_DetailItem	Обшивка	006	Обшивка
TST-5721-8001-001-0021	sdb_DetailItem	Обшивка	006	Обшивка
TST-5721-8001-003-0011	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-8001-003-0021	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-8001-005-0011	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-8001-005-0021	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-8001-007-0011	sdb_DetailItem	Стрингер 3	005	Стрингер 3
TST-5721-8001-007-0021	sdb_DetailItem	Стрингер 3	005	Стрингер 3
TST-5721-8001-009-0011	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-8001-009-0021	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-8001-011-0011	sdb_DetailItem	Стрингер 5	004	Стрингер 5
TST-5721-8001-011-0021	sdb_DetailItem	Стрингер 5	004	Стрингер 5
TST-5721-8001-013-0011	sdb_DetailItem	Стрингер 9	004	Стрингер 9
TST-5721-8001-013-0021	sdb_DetailItem	Стрингер 9	004	Стрингер 9
TST-5721-8001-015-0011	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-8001-015-0021	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-8001-017-0011	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-8001-017-0021	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-8001-019-0011	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-8001-019-0021	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-8001-021-0011	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-8001-021-0021	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-8001-023-0011	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-8001-023-0021	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-8001-025-0011	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-8001-025-0021	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-8001-027-0011	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-8001-027-0021	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-8001-029-0011	sdb_DetailItem	Стрингер 17	004	Стрингер 17
TST-5721-8001-029-0021	sdb_DetailItem	Стрингер 17	004	Стрингер 17
TST-5721-8001-031-0011	sdb_DetailItem	Вкладыш	004	Вкладыш
TST-5721-8001-031-0021	sdb_DetailItem	Вкладыш	004	Вкладыш
TST-5721-8001-035-0011	sdb_DetailItem	Жгуты	003	Жгуты
TST-5721-8001-035-0021	sdb_DetailItem	Жгуты	003	Жгуты
TST-5721-8001-036-0011	sdb_DetailItem	Жгуты	001	Жгуты
TST-5721-8001-036-0021	sdb_DetailItem	Жгуты	001	Жгуты
TST-5721-8001-103-0011	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-8001-103-0021	sdb_DetailItem	Стрингер 1	004	Стрингер 1
TST-5721-8001-105-0011	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-8001-105-0021	sdb_DetailItem	Стрингер 2	004	Стрингер 2
TST-5721-8001-107-0011	sdb_DetailItem	Стрингер 3	005	Стрингер 3
TST-5721-8001-107-0021	sdb_DetailItem	Стрингер 3	005	Стрингер 3
TST-5721-8001-109-0011	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-8001-109-0021	sdb_DetailItem	Стрингер 4	004	Стрингер 4
TST-5721-8001-111-0011	sdb_DetailItem	Стрингер 5	004	Стрингер 5
TST-5721-8001-111-0021	sdb_DetailItem	Стрингер 5	004	Стрингер 5
TST-5721-8001-113-0011	sdb_DetailItem	Стрингер 9	004	Стрингер 9
TST-5721-8001-113-0021	sdb_DetailItem	Стрингер 9	004	Стрингер 9
TST-5721-8001-115-0011	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-8001-115-0021	sdb_DetailItem	Стрингер 10	004	Стрингер 10
TST-5721-8001-117-0011	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-8001-117-0021	sdb_DetailItem	Стрингер 11	004	Стрингер 11
TST-5721-8001-119-0011	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-8001-119-0021	sdb_DetailItem	Стрингер 12	004	Стрингер 12
TST-5721-8001-121-0011	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-8001-121-0021	sdb_DetailItem	Стрингер 13	004	Стрингер 13
TST-5721-8001-123-0011	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-8001-123-0021	sdb_DetailItem	Стрингер 14	004	Стрингер 14
TST-5721-8001-125-0011	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-8001-125-0021	sdb_DetailItem	Стрингер 15	004	Стрингер 15
TST-5721-8001-127-0011	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-8001-127-0021	sdb_DetailItem	Стрингер 16	004	Стрингер 16
TST-5721-8001-129-0011	sdb_DetailItem	Стрингер 17	004	Стрингер 17
TST-5721-8001-129-0021	sdb_DetailItem	Стрингер 17	004	Стрингер 17
TST-5721-8001-200-0011	sdb_DetailItem	Стеклоткань	005	Стеклоткань
TST-5721-8001-200-0021	sdb_DetailItem	Стеклоткань	005	Стеклоткань
TST-5721-8001-201-0011	sdb_DetailItem	Молниезащита	006	Молниезащита
TST-5721-8001-201-0021	sdb_DetailItem	Молниезащита	006	Молниезащита
TST-5721-8001-202-0011	sdb_DetailItem	Молниезащита	004	Молниезащита
TST-5721-8001-202-0021	sdb_DetailItem	Молниезащита	004	Молниезащита
TST-5721-8001-203-0011	sdb_DetailItem	Стеклоткань	006	Стеклоткань
TST-5721-8001-203-0021	sdb_DetailItem	Стеклоткань	006	Стеклоткань
TST-5721-8001-300-0011	sdb_DetailItem	Стеклоткань	001	Стеклоткань
TST-5721-8001-300-0021	sdb_DetailItem	Стеклоткань	001	Стеклоткань
TST-5721-8100-001-D510	sdb_PsAssyItem	Установка зашивки. ПСК	002	Установка зашивки. ПСК
TST-5721-8100-002-D510	sdb_PsAssyItem	Установка зашивки. ПСК	002	Установка зашивки. ПСК
TST-5721-8100-019-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-8100-020-0011	sdb_DetailItem	Болт	001	Болт
TST-5721-8100-021-0011	sdb_DetailItem	Гайка	002	Гайка
TST-5721-8110-001-0011	sdb_DetailItem	Обшивка	001	Обшивка
TST-5721-8110-001-0021	sdb_DetailItem	Обшивка	001	Обшивка
TST-5721-8110-001-D510	sdb_PsAssyItem	Зашивка. ПСК	001	Зашивка. ПСК
TST-5721-8110-002-D510	sdb_PsAssyItem	Зашивка. ПСК	001	Зашивка. ПСК
TST-5721-8110-003-0011	sdb_DetailItem	Кронштейн навески	001	Кронштейн навески
TST-5721-8110-003-0021	sdb_DetailItem	Кронштейн навески	001	Кронштейн навески
TST-5721-8110-004-0011	sdb_DetailItem	Прижимной профиль	001	Прижимной профиль
TST-5721-8110-004-0021	sdb_DetailItem	Прижимной профиль	001	Прижимной профиль
TST-5721-8111-001-0011	sdb_DetailItem	Кронштейн	001	Кронштейн
TST-5721-8111-001-0021	sdb_DetailItem	Кронштейн	001	Кронштейн
TST-5721-8111-002-0011	sdb_DetailItem	Втулка	002	Втулка
TST-5721-8120-001-0011	sdb_DetailItem	Муфта	002	Муфта
TST-5721-8120-001-D510	sdb_PsAssyItem	Тандер. ПСК	001	Тандер. ПСК
TST-5721-8130-001-0011	sdb_DetailItem	Кронштейн	001	Кронштейн
TST-5721-9000-001-D520	sdb_PsAssyItem	Установка крышек люков	002	Установка крышек люков
TST-5721-9000-002-D520	sdb_PsAssyItem	Установка крышек люков	002	Установка крышек люков
TST-5721-9001-001-0011	sdb_DetailItem	Внутренняя крышка (большая, 11-13)	003	Внутренняя крышка (большая, 11-13)
TST-5721-9001-001-D510	sdb_PsAssyItem	Внутренняя крышка (большая, 11-13). ПСК	001	Внутренняя крышка (большая, 11-13). ПСК
TST-5721-9002-001-0011	sdb_DetailItem	Внутренняя крышка (большая, 15-17)	003	Внутренняя крышка (большая, 15-17)
TST-5721-9002-001-D510	sdb_PsAssyItem	Внутренняя крышка (большая, 15-17). ПСК	001	Внутренняя крышка (большая, 15-17). ПСК
TST-5721-9003-001-0011	sdb_DetailItem	Внутренняя крышка (средняя, 10-13)	003	Внутренняя крышка (средняя, 10-13)
TST-5721-9003-001-D510	sdb_PsAssyItem	Внутренняя крышка (средняя, 10-13). ПСК	001	Внутренняя крышка (средняя, 10-13). ПСК
TST-5721-9004-001-0011	sdb_DetailItem	Внутренняя крышка (средняя, 5-8)	003	Внутренняя крышка (средняя, 5-8)
TST-5721-9004-001-D510	sdb_PsAssyItem	Внутренняя крышка (средняя, 5-8). ПСК	001	Внутренняя крышка (средняя, 5-8). ПСК
TST-5721-9006-001-0011	sdb_DetailItem	Внутренняя крышка (малая)	003	Внутренняя крышка (малая)
TST-5721-9006-001-D510	sdb_PsAssyItem	Внутренняя крышка (малая). ПСК	001	Внутренняя крышка (малая). ПСК
TST-5721-9007-001-0011	sdb_DetailItem	Окантовка	004	Окантовка
TST-5721-9007-001-D510	sdb_PsAssyItem	Окантовка. ПСК	001	Окантовка. ПСК
TST-5721-9007-002-D510	sdb_PsAssyItem	Окантовка. ПСК	001	Окантовка. ПСК
TST-5721-9008-001-0011	sdb_DetailItem	Внутренняя крышка разрывного диска	003	Внутренняя крышка разрывного диска
TST-5721-9008-001-D510	sdb_PsAssyItem	Внутренняя крышка разрывного диска. ПСК	001	Внутренняя крышка разрывного диска. ПСК
TST-5721-9008-002-0011	sdb_DetailItem	Фланец разрывного диска	002	Фланец разрывного диска
TST-5721-9009-001-0011	sdb_DetailItem	Внутренняя крышка пламегасителя	003	Внутренняя крышка пламегасителя
TST-5721-9009-001-0021	sdb_DetailItem	Внутренняя крышка пламегасителя	003	Внутренняя крышка пламегасителя
TST-5721-9009-001-D510	sdb_PsAssyItem	Внутренняя крышка пламегасителя. ПСК	001	Внутренняя крышка пламегасителя. ПСК
TST-5721-9009-002-0011	sdb_DetailItem	Фланец пламегасителя	001	Фланец пламегасителя
TST-5721-9009-002-D510	sdb_PsAssyItem	Внутренняя крышка пламегасителя. ПСК	001	Внутренняя крышка пламегасителя. ПСК
TST-5721-9510-001-0011	sdb_DetailItem	Внешняя крышка группы 1	005	Внешняя крышка группы 1
TST-5721-9510-001-0021	sdb_DetailItem	Внешняя крышка группы 1	005	Внешняя крышка группы 1
TST-5721-9510-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 1). ПСК	001	Установка крышек люков (группа 1). ПСК
TST-5721-9510-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 1). ПСК	001	Установка крышек люков (группа 1). ПСК
TST-5721-9520-001-0011	sdb_DetailItem	Внешняя крышка группы 2	005	Внешняя крышка группы 2
TST-5721-9520-001-0021	sdb_DetailItem	Внешняя крышка группы 2	005	Внешняя крышка группы 2
TST-5721-9520-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 2). ПСК	001	Установка крышек люков (группа 2). ПСК
TST-5721-9520-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 2). ПСК	001	Установка крышек люков (группа 2). ПСК
TST-5721-9530-001-0011	sdb_DetailItem	Внешняя крышка группы 3	005	Внешняя крышка группы 3
TST-5721-9530-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 3). ПСК	001	Установка крышек люков (группа 3). ПСК
TST-5721-9530-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 3). ПСК	001	Установка крышек люков (группа 3). ПСК
TST-5721-9540-001-0011	sdb_DetailItem	Внешняя крышка группы 4	004	Внешняя крышка группы 4
TST-5721-9540-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 4). ПСК	001	Установка крышек люков (группа 4). ПСК
TST-5721-9540-002-0011	sdb_DetailItem	Внешняя крышка разрывного диска	004	Внешняя крышка разрывного диска
TST-5721-9540-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 4). ПСК	001	Установка крышек люков (группа 4). ПСК
TST-5721-9540-003-0011	sdb_DetailItem	Внешняя крышка пламегасителя	004	Внешняя крышка пламегасителя
TST-5721-9540-003-0021	sdb_DetailItem	Внешняя крышка пламегасителя	004	Внешняя крышка пламегасителя
TST-5721-9550-001-0011	sdb_DetailItem	Внешняя крышка группы 5	005	Внешняя крышка группы 5
TST-5721-9550-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 5). ПСК	001	Установка крышек люков (группа 5). ПСК
TST-5721-9550-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 5). ПСК	001	Установка крышек люков (группа 5). ПСК
TST-5721-9560-001-D510	sdb_PsAssyItem	Установка крышек люков (группа 6). ПСК	001	Установка крышек люков (группа 6). ПСК
TST-5721-9560-002-D510	sdb_PsAssyItem	Установка крышек люков (группа 6). ПСК	001	Установка крышек люков (группа 6). ПСК
TST-5721-9561-001-0011	sdb_DetailItem	Внешняя крышка группы 6	004	Внешняя крышка группы 6
TST-5721-9561-001-0021	sdb_DetailItem	Внешняя крышка группы 6	004	Внешняя крышка группы 6
TST-5721-9561-001-D510	sdb_PsAssyItem	Внешняя крышка группы 6. ПСК	001	Внешняя крышка группы 6. ПСК
TST-5721-9561-002-D510	sdb_PsAssyItem	Внешняя крышка группы 6. ПСК	001	Внешняя крышка группы 6. ПСК
TST-5721-9562-001-0011	sdb_DetailItem	Люк быстрого доступа	004	Люк быстрого доступа
TST-5721-9562-001-0021	sdb_DetailItem	Люк быстрого доступа	004	Люк быстрого доступа
TST-5721-9562-002-0011	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-9562-002-0021	sdb_DetailItem	Прокладка	001	Прокладка
TST-5721-9563-001-0011	sdb_DetailItem	Трос	001	Трос
TST-5721-9563-002-0011	sdb_DetailItem	Гильза	001	Гильза
TST-5722-0000-001-D500	I8_PseudoAssy	TST-5722-0000-001-D500	001	Установка балок навески закрылков консоли крыла правой. ПСО
TST-5722-0000-002-D500	I8_PseudoAssy	TST-5722-0000-002-D500	001	Установка балок навески закрылков консоли крыла левой. ПСО
TST-5722-1000-001-D510	I8_PseudoAssy	TST-5722-1000-001-D510	004	Балка №1 правая. ПСК
TST-5722-1000-002-D510	I8_PseudoAssy	TST-5722-1000-002-D510	004	Балка №1 левая. ПСК
TST-5722-1100-001-D510	I8_PseudoAssy	TST-5722-1100-001-D510	005	Установка рельса 1. ПСК
TST-5722-1100-002-D510	I8_PseudoAssy	TST-5722-1100-002-D510	005	Установка рельса 1. ПСК
TST-5722-1110-000-D510	I8_PseudoAssy	TST-5722-1110-000-D510	004	Рельс в сборе. ПСК
TST-5722-1120-001-D510	I8_PseudoAssy	TST-5722-1120-001-D510	004	Кронштейн в сборе. ПСК
TST-5722-1120-002-D510	I8_PseudoAssy	TST-5722-1120-002-D510	004	Кронштейн в сборе. ПСК
TST-5722-1200-001-D510	I8_PseudoAssy	TST-5722-1200-001-D510	006	Механизм №1. ПСК
TST-5722-1200-002-D510	I8_PseudoAssy	TST-5722-1200-002-D510	006	Механизм №1. ПСК
TST-5722-1210-001-D510	I8_PseudoAssy	TST-5722-1210-001-D510	005	Каретка нижняя в сборе. ПСК
TST-5722-1210-002-D510	I8_PseudoAssy	TST-5722-1210-002-D510	005	Каретка нижняя в сборе. ПСК
TST-5722-1220-001-D510	I8_PseudoAssy	TST-5722-1220-001-D510	005	Каретка верхняя в сборе. ПСК
TST-5722-1220-002-D510	I8_PseudoAssy	TST-5722-1220-002-D510	005	Каретка верхняя в сборе. ПСК
TST-5722-1230-001-D510	I8_PseudoAssy	TST-5722-1230-001-D510	006	Траверса в сборе. ПСК
TST-5722-1230-002-D510	I8_PseudoAssy	TST-5722-1230-002-D510	005	Траверса в сборе.ПСК
TST-5722-1256-000-D510	I8_PseudoAssy	TST-5722-1256-000-D510	005	Тяга кронштейна навески закрылка. ПСК
TST-5722-1272-000-D510	I8_PseudoAssy	TST-5722-1272-000-D510	005	Тяга в сборе. ПСК
TST-5722-1273-000-D510	I8_PseudoAssy	TST-5722-1273-000-D510	004	Тяга в сборе. ПСК
TST-5722-2000-001-D510	I8_PseudoAssy	TST-5722-2000-001-D510	005	Балка №2 правая. ПСК
TST-5722-2000-002-D510	I8_PseudoAssy	TST-5722-2000-002-D510	005	Балка №2 левая. ПСК
TST-5722-2100-001-D510	I8_PseudoAssy	TST-5722-2100-001-D510	004	Рельс балки 2. ПСК
TST-5722-2100-002-D510	I8_PseudoAssy	TST-5722-2100-002-D510	004	Рельс балки 2. ПСК
TST-5722-2110-000-D510	I8_PseudoAssy	TST-5722-2110-000-D510	004	Рельс в сборе. ПСК
TST-5722-2200-001-D510	I8_PseudoAssy	TST-5722-2200-001-D510	006	Механизм №2. ПСК
TST-5722-2200-002-D510	I8_PseudoAssy	TST-5722-2200-002-D510	006	Механизм №2. ПСК
TST-5722-2210-000-D510	I8_PseudoAssy	TST-5722-2210-000-D510	005	Каретка. ПСК
TST-5722-2220-000-D510	I8_PseudoAssy	TST-5722-2220-000-D510	005	Узел крепления закрылка в сборе. ПСК
TST-5722-2300-001-D510	I8_PseudoAssy	TST-5722-2300-001-D510	002	Сборка механизма торможения. ПСК
TST-5722-2300-002-D510	I8_PseudoAssy	TST-5722-2300-002-D510	002	Сборка механизма торможения. ПСК
TST-5722-2333-000-D510	I8_PseudoAssy	TST-5722-2333-000-D510	003	Качалка. ПСК
TST-5722-2500-003-D510	I8_PseudoAssy	TST-5722-2500-003-D510	003	Обтекатель балки №2 правой. ПСК
TST-5722-2500-004-D510	I8_PseudoAssy	TST-5722-2500-004-D510	003	Обтекатель балки №2 левой. ПСК
TST-5722-2510-001-D510	I8_PseudoAssy	TST-5722-2510-001-D510	004	Неподвижная часть обтекателя балки №2. ПСК
TST-5722-2510-002-D510	I8_PseudoAssy	TST-5722-2510-002-D510	004	Неподвижная часть обтекателя балки №2. ПСК
TST-5722-2511-004-D441	I8_MaterialEM	TST-5722-2511-004-D441	002	Забивка
TST-5722-2511-005-D441	I8_MaterialEM	TST-5722-2511-005-D441	002	Забивка
TST-5722-2520-001-D510	I8_PseudoAssy	TST-5722-2520-001-D510	004	Подвижная часть обтекателя балки №2. ПСК
TST-5722-2520-002-D510	I8_PseudoAssy	TST-5722-2520-002-D510	004	Подвижная часть обтекателя балки №2. ПСК
TST-5722-2521-004-D441	I8_MaterialEM	TST-5722-2521-004-D441	002	Забивка
TST-5722-2521-005-D441	I8_MaterialEM	TST-5722-2521-005-D441	002	Забивка
TST-5722-2530-000-D510	I8_PseudoAssy	TST-5722-2530-000-D510	004	Тяга в сборе. ПСК
TST-5722-2535-000-D510	I8_PseudoAssy	TST-5722-2535-000-D510	004	Серьга. ПСК
TST-5722-2540-000-D510	I8_PseudoAssy	TST-5722-2540-000-D510	005	Шлиц-шарнир. ПСК
TST-5722-2547-001-D510	I8_PseudoAssy	TST-5722-2547-001-D510	004	Установка ленты. ПСК
TST-5722-2547-002-D510	I8_PseudoAssy	TST-5722-2547-002-D510	004	Установка ленты. ПСК
TST-5722-3000-001-D510	I8_PseudoAssy	TST-5722-3000-001-D510	005	Балка №3 правая. ПСК
TST-5722-3000-002-D510	I8_PseudoAssy	TST-5722-3000-002-D510	005	Балка №3 левая. ПСК
TST-5722-3012-000-D510	I8_PseudoAssy	TST-5722-3012-000-D510	003	Тяга в сборе. ПСК
TST-5722-3017-000-D510	I8_PseudoAssy	TST-5722-3017-000-D510	003	Тяга в сборе. ПСК
TST-5722-3100-000-D510	I8_PseudoAssy	TST-5722-3100-000-D510	005	Рельс балки №3 в сборе. ПСК
TST-5722-3200-001-D510	I8_PseudoAssy	TST-5722-3200-001-D510	006	Механизм №3. ПСК
TST-5722-3200-002-D510	I8_PseudoAssy	TST-5722-3200-002-D510	006	Механизм №3. ПСК
TST-5722-3210-001-D510	I8_PseudoAssy	TST-5722-3210-001-D510	004	Каретка нижняя. ПСК
TST-5722-3210-002-D510	I8_PseudoAssy	TST-5722-3210-002-D510	005	Каретка нижняя. ПСК
TST-5722-3220-001-D510	I8_PseudoAssy	TST-5722-3220-001-D510	005	Каретка верхняя. ПСК
TST-5722-3220-002-D510	I8_PseudoAssy	TST-5722-3220-002-D510	003	Каретка верхняя. ПСК
TST-5722-3230-001-D510	I8_PseudoAssy	TST-5722-3230-001-D510	006	Траверса. ПСК
TST-5722-3230-002-D510	I8_PseudoAssy	TST-5722-3230-002-D510	006	Траверса. ПСК
TST-5722-3256-000-D510	I8_PseudoAssy	TST-5722-3256-000-D510	003	Тяга кронштейна навески закрылка. ПСК
